,mini,maxi
0, Regeneration Rate by10,"18% and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals30"
1, Regeneration Rate by10,"18% and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals30"
2, Regeneration Rate by10,"18% and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals30"
3, Regeneration Rate by10,"18% and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals30"
4, Regeneration Rate by10,"18% and regenerates 1 Skill Point when the wearer uses their Ultimate on an ally. This effect can be triggered after every 2 uses of the wearer's Ultimate. When the wearer uses their Skill, the next ally taking action (except the wearer) deals30"
5, Regeneration Rate by12,"20%.When the wearer's HP is reduced, all allies' DMG dealt increases by9.0"
6, Regeneration Rate by12,"20%.When the wearer's HP is reduced, all allies' DMG dealt increases by9.0"
7, Regeneration Rate by12,"20%.When the wearer's HP is reduced, all allies' DMG dealt increases by9.0"
8, Regeneration Rate by12,"20%.When the wearer's HP is reduced, all allies' DMG dealt increases by9.0"
9, Regeneration Rate by12,"20%.When the wearer's HP is reduced, all allies' DMG dealt increases by9.0"
10, Regeneration Rate by6.0,10.0%. Dragon's Call may be stacked up to 2 times.
11, Regeneration Rate by6.0,10.0%. Dragon's Call may be stacked up to 2 times.
12, Regeneration Rate by6.0,10.0%. Dragon's Call may be stacked up to 2 times.
13, Regeneration Rate by6.0,10.0%. Dragon's Call may be stacked up to 2 times.
14, Regeneration Rate by6.0,10.0%. Dragon's Call may be stacked up to 2 times.
15, Regeneration Rate by6,"12%. The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
16, Regeneration Rate by6,"12%. The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
17, Regeneration Rate by6,"12%. The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
18, Regeneration Rate by6,"12%. The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
19, Regeneration Rate by6,"12%. The applied effect cannot be identical to the last effect applied, and will replace the previous effect. The applied effect will be removed when the wearer has been knocked down. Effects of the similar type cannot be stacked."
20, Regeneration Rate by8,16% and increases Outgoing Healing when they use their Ultimate by12
21, Regeneration Rate by8,16% and increases Outgoing Healing when they use their Ultimate by12
22, Regeneration Rate by8,16% and increases Outgoing Healing when they use their Ultimate by12
23, Regeneration Rate by8,16% and increases Outgoing Healing when they use their Ultimate by12
24, Regeneration Rate by8,16% and increases Outgoing Healing when they use their Ultimate by12
25, for a randomly chosen ally (excluding the wearer) whose current ,
26, for a randomly chosen ally (excluding the wearer) whose current ,
27, for a randomly chosen ally (excluding the wearer) whose current ,
28, for a randomly chosen ally (excluding the wearer) whose current ,
29, for a randomly chosen ally (excluding the wearer) whose current ,
30, for all allies.,
31, for all allies.,
32, for all allies.,
33, for all allies.,
34, for all allies.,
35, for all allies.,
36, for all allies.,
37, for all allies.,
38, for all allies.,
39, for all allies.,
40," immediately upon entering battle, and increases Ultimate DMG by32",64%.
41," immediately upon entering battle, and increases Ultimate DMG by32",64%.
42," immediately upon entering battle, and increases Ultimate DMG by32",64%.
43," immediately upon entering battle, and increases Ultimate DMG by32",64%.
44," immediately upon entering battle, and increases Ultimate DMG by32",64%.
45, reaches its max level.,
46, reaches its max level.,
47, reaches its max level.,
48, reaches its max level.,
49, reaches its max level.,
50,.,
51,.,
52,.,
53,.,
54,.,
55,.,
56,.,
57,.,
58,.,
59,.,
60,.  This effect can only be triggered 1 time per turn.,
61,.  This effect can only be triggered 1 time per turn.,
62,.  This effect can only be triggered 1 time per turn.,
63,.  This effect can only be triggered 1 time per turn.,
64,.  This effect can only be triggered 1 time per turn.,
65,. DMG increases by0.20,0.40% per point of 
66,. DMG increases by0.20,0.40% per point of 
67,. DMG increases by0.20,0.40% per point of 
68,. DMG increases by0.20,0.40% per point of 
69,. DMG increases by0.20,0.40% per point of 
70,. Each attack can regenerate ,
71,. Each attack can regenerate ,
72,. Each attack can regenerate ,
73,. Each attack can regenerate ,
74,. Each attack can regenerate ,
75,. This effect can only be triggered 1 time per turn.,
76,. This effect can only be triggered 1 time per turn.,
77,. This effect can only be triggered 1 time per turn.,
78,. This effect can only be triggered 1 time per turn.,
79,. This effect can only be triggered 1 time per turn.,
80,. This effect can only be triggered 1 time per turn.,
81,. This effect can only be triggered 1 time per turn.,
82,. This effect can only be triggered 1 time per turn.,
83,. This effect can only be triggered 1 time per turn.,
84,. This effect can only be triggered 1 time per turn.,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
