town,lat,long
ANG MO KIO,1.36795,103.83866
BEDOK,1.32426,103.953
BISHAN,1.3499986,103.8499966
BUKIT BATOK,1.35002,103.74927
BUKIT MERAH,1.28583,103.819
BUKIT PANJANG,1.375165166,103.757497
BUKIT TIMAH,1.342417,103.77663
CENTRAL AREA,1.29167,103.85
CHOA CHU KANG,1.38615,103.74612
CLEMENTI,1.314352,103.765236
GEYLANG,1.320613,103.88693
HOUGANG,1.372581,103.893654
JURONG EAST,1.3206,103.74521
JURONG WEST,1.340031973,103.7040872
KALLANG/WHAMPOA,1.31083,103.86556
MARINE PARADE,1.30306,103.90778
PASIR RIS,1.3720944,103.94737
PUNGGOL,1.4025,103.9064
QUEENSTOWN,1.29417,103.786125
SEMBAWANG,1.449111,103.8185
SENGKANG,1.387731782,103.8907131
SERANGOON,1.3534464,103.87238
TAMPINES,1.352481,103.94461
TOA PAYOH,1.331461,103.8495
WOODLANDS,1.436046,103.78606
YISHUN,1.43,103.835
